Experiment Summary								
Readout group name	19July2021_MsWTA							
Date	8/4/2021 22:30							
Readout mode	NGS							
Number of Collection Plates	3							
Number Of AOIs	267							
Library Prep Protocol Version								
								
Library Prep Summary								
Library Prep Plate	Collection Plate	Primer Plate	Rows	Area				
DSP-1012998073013-F-E11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	55	Full ROI	Full ROI-aoi-001	71988.82	
DSP-1012998073013-F-E12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	56	Full ROI	Full ROI-aoi-001	70559.65	
DSP-1012998073013-F-F01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	57	Full ROI	Full ROI-aoi-001	49795.74	
DSP-1012998073013-F-F02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	NeuN+	NeuN+-aoi-001	7789.14	
DSP-1012998073013-F-F03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	DNA	DNA-aoi-001	35255.29	
DSP-1012998073013-F-F04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	NeuN+	NeuN+-aoi-001	5761.45	
DSP-1012998073013-F-F05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	DNA	DNA-aoi-001	16687.09	
DSP-1012998073013-F-F06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	NeuN+	NeuN+-aoi-001	3447.12	
DSP-1012998073013-F-F07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	DNA	DNA-aoi-001	64180.49	
DSP-1012998073013-F-F08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	NeuN+	NeuN+-aoi-001	1329.42	
DSP-1012998073013-F-F09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	DNA	DNA-aoi-001	48495.42	
DSP-1012998073013-F-F10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	63	Full ROI	Full ROI-aoi-001	83993.86	
DSP-1012998073013-F-F11	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	64	Full ROI	Full ROI-aoi-001	98717.52	
DSP-1012998073013-F-F12	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	65	Full ROI	Full ROI-aoi-001	100303.99	
DSP-1012998073013-F-G01	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	66	Full ROI	Full ROI-aoi-001	130142.66	
DSP-1012998073013-F-G02	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	67	Full ROI	Full ROI-aoi-001	130630.88	
DSP-1012998073013-F-G03	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	NeuN+	NeuN+-aoi-001	7451.19	
DSP-1012998073013-F-G04	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	DNA	DNA-aoi-001	46355.98	
DSP-1012998073013-F-G05	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	NeuN+	NeuN+-aoi-001	6186.68	
DSP-1012998073013-F-G06	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	DNA	DNA-aoi-001	43099.26	
DSP-1012998073013-F-G07	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	NeuN+	NeuN+-aoi-001	4491.82	
DSP-1012998073013-F-G08	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	DNA	DNA-aoi-001	59339.22	
DSP-1012998073013-F-G09	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	NeuN+	NeuN+-aoi-001	3968.27	
DSP-1012998073013-F-G10	1	1	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	DNA	DNA-aoi-001	64991.64	
DSP-1012998073013-F-G11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	1	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-G12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	2	Full ROI	Full ROI-aoi-001	62658.28	
DSP-1012998073013-F-H01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	3	Full ROI	Full ROI-aoi-001	69631.81	
DSP-1012998073013-F-H02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	4	Full ROI	Full ROI-aoi-001	131532.34	
DSP-1012998073013-F-H03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	5	Full ROI	Full ROI-aoi-001	123079.93	
DSP-1012998073013-F-H04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	6	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	7	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	8	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	9	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	10	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	11	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	12	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	13	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012998073013-F-H12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	14	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A01	No Template Control							
DSP-1012997073012-G-A02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	15	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	16	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	17	Full ROI	Full ROI-aoi-001	131135.24	
DSP-1012997073012-G-A05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	18	Full ROI	Full ROI-aoi-001	157531.11	
DSP-1012997073012-G-A06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	19	DNA	DNA-aoi-001	30190.52	
DSP-1012997073012-G-A07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	20	DNA	DNA-aoi-001	32471.28	
DSP-1012997073012-G-A08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	21	DNA	DNA-aoi-001	47342.01	
DSP-1012997073012-G-A09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	22	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	23	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	24	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-A12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	25	Full ROI	Full ROI-aoi-001	68928.09	
DSP-1012997073012-G-B01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	26	Full ROI	Full ROI-aoi-001	65246.46	
DSP-1012997073012-G-B02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	27	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-B03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	28	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-B04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	29	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-B05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	30	NeuN+	NeuN+-aoi-001	33355.16	
DSP-1012997073012-G-B06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	31	NeuN+	NeuN+-aoi-001	26671.47	
DSP-1012997073012-G-B07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	32	NeuN+	NeuN+-aoi-001	42067.51	
DSP-1012997073012-G-B08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	33	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-B09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	34	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-B10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	35	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-B11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	36	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-B12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	37	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-C01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	38	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-C02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	39	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012997073012-G-C03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	40	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-C04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	41	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-C05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	42	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012997073012-G-C06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	43	Full ROI	Full ROI-aoi-001	58866.5	
DSP-1012997073012-G-C07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	44	Full ROI	Full ROI-aoi-001	130791.22	
DSP-1012997073012-G-C08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	45	Full ROI	Full ROI-aoi-001	99735.68	
DSP-1012997073012-G-C09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	46	Full ROI	Full ROI-aoi-001	141262.38	
DSP-1012997073012-G-C10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	47	Full ROI	Full ROI-aoi-001	106946.44	
DSP-1012997073012-G-C11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	48	NeuN+	NeuN+-aoi-001	5153.01	
DSP-1012997073012-G-C12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	48	DNA	DNA-aoi-001	36105.43	
DSP-1012997073012-G-D01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	NeuN+	NeuN+-aoi-001	11135.23	
DSP-1012997073012-G-D02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	DNA	DNA-aoi-001	64024.79	
DSP-1012997073012-G-D03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	NeuN+	NeuN+-aoi-001	7741.34	
DSP-1012997073012-G-D04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	DNA	DNA-aoi-001	44105.6	
DSP-1012997073012-G-D05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	NeuN+	NeuN+-aoi-001	4073.3	
DSP-1012997073012-G-D06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	DNA	DNA-aoi-001	114172.07	
DSP-1012997073012-G-D07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	NeuN+	NeuN+-aoi-001	9661.61	
DSP-1012997073012-G-D08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	DNA	DNA-aoi-001	31660.94	
DSP-1012997073012-G-D09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	53	Full ROI	Full ROI-aoi-001	60150.36	
DSP-1012997073012-G-D10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	54	Full ROI	Full ROI-aoi-001	137620.23	
DSP-1012997073012-G-D11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	55	Full ROI	Full ROI-aoi-001	122508.1	
DSP-1012997073012-G-D12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	56	Full ROI	Full ROI-aoi-001	133015.87	
DSP-1012997073012-G-E01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	57	Full ROI	Full ROI-aoi-001	115844.39	
DSP-1012997073012-G-E02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	58	NeuN+	NeuN+-aoi-001	5372.34	
DSP-1012997073012-G-E03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	58	DNA	DNA-aoi-001	38700.96	
DSP-1012997073012-G-E04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	NeuN+	NeuN+-aoi-001	8353.78	
DSP-1012997073012-G-E05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	DNA	DNA-aoi-001	49509.43	
DSP-1012997073012-G-E06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	NeuN+	NeuN+-aoi-001	5791.34	
DSP-1012997073012-G-E07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	DNA	DNA-aoi-001	37087.63	
DSP-1012997073012-G-E08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	NeuN+	NeuN+-aoi-001	5625.08	
DSP-1012997073012-G-E09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	DNA	DNA-aoi-001	79923.28	
DSP-1012997073012-G-E10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	NeuN+	NeuN+-aoi-001	4761.99	
DSP-1012997073012-G-E11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	DNA	DNA-aoi-001	80747.53	
DSP-1012997073012-G-E12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	63	Full ROI	Full ROI-aoi-001	52539.3	
DSP-1012997073012-G-F01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	64	Full ROI	Full ROI-aoi-001	127707.95	
DSP-1012997073012-G-F02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	65	Full ROI	Full ROI-aoi-001	81498.72	
DSP-1012997073012-G-F03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	66	Full ROI	Full ROI-aoi-001	128888.54	
DSP-1012997073012-G-F04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	67	Full ROI	Full ROI-aoi-001	131216.45	
DSP-1012997073012-G-F05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	68	NeuN+	NeuN+-aoi-001	5899.09	
DSP-1012997073012-G-F06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	68	DNA	DNA-aoi-001	36028.86	
DSP-1012997073012-G-F07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	NeuN+	NeuN+-aoi-001	9695.66	
DSP-1012997073012-G-F08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	DNA	DNA-aoi-001	47587.08	
DSP-1012997073012-G-F09	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	NeuN+	NeuN+-aoi-001	6325.44	
DSP-1012997073012-G-F10	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	DNA	DNA-aoi-001	47693.07	
DSP-1012997073012-G-F11	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	NeuN+	NeuN+-aoi-001	9299.04	
DSP-1012997073012-G-F12	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	DNA	DNA-aoi-001	103178.16	
DSP-1012997073012-G-G01	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	NeuN+	NeuN+-aoi-001	5611.18	
DSP-1012997073012-G-G02	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	DNA	DNA-aoi-001	94888.33	
DSP-1012997073012-G-G03	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	73	NeuN+	NeuN+-aoi-001	2092.76	
DSP-1012997073012-G-G04	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	73	DNA	DNA-aoi-001	54385.88	
DSP-1012997073012-G-G05	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	74	NeuN+	NeuN+-aoi-001	3352.64	
DSP-1012997073012-G-G06	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	74	DNA	DNA-aoi-001	48548.5	
DSP-1012997073012-G-G07	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	75	NeuN+	NeuN+-aoi-001	1977.34	
DSP-1012997073012-G-G08	2	2	(v1.0) TAP Mouse Whole Transcriptome Atlas	75	DNA	DNA-aoi-001	53906.77	
DSP-1012996073013-H-A01	No Template Control							
DSP-1012996073013-H-A02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	1	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	2	Full ROI	Full ROI-aoi-001	93228.8	
DSP-1012996073013-H-A04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	3	Full ROI	Full ROI-aoi-001	82528.56	
DSP-1012996073013-H-A05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	4	Full ROI	Full ROI-aoi-001	164911.48	
DSP-1012996073013-H-A06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	5	Full ROI	Full ROI-aoi-001	156564.42	
DSP-1012996073013-H-A07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	6	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	7	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	8	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	9	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	10	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-A12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	11	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	12	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	13	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	14	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	15	Full ROI	Full ROI-aoi-001	70624.23	
